序号,词汇,核心词汇,核心词义,情感,词类,内容描述,11-医疗健康,品牌,平台,词源链接,负责人,关联核心词汇,关联核心词义,关联情感,关联词类,关联品类,关联品牌,关联平台 
1,yyds,顶尖,表达对人或事物的极致赞美，意为“顶级”“封神”“无可超越”,积极,外来词汇,这套牛奶丝睡衣简直人间香奈儿!!送礼必备啊啊啊啊啊!!!!!!这套牛奶丝睡衣简直是送礼天花板一套睡衣怎么能做到又美又温柔太太太好看了叭    奶白色+芍药花的组合也太令人惊喜了吧满心满眼都是好温柔好温柔好温柔牛奶般丝滑的绸缎面料简直yyds上身后就完全不想换掉了。几乎是裸感的舒适度五星好评  吊带+长裤+长款睡袍三件套款式又美又特别简直就是四季款爱了爱了芍药花的话语依依惜别可赠予给身处异地的朋友表达想念这个送闺蜜超好戳的而且睡衣还有贴心的礼盒装送闺密真的排面和仪式感直接拉满又美又贴心的礼物送闺蜜简直就是送礼天花板坐等被夸国#精致睡衣推荐 #舒适睡衣推荐 #送给闺蜜的礼物 #闺蜜礼物 #闺蜜生日礼物 #送女朋友礼物 #生日礼物 #情侣礼物 #女生礼,3-服饰鞋帽,唯品会,小红书,http://xhslink.com/o/vIAExrSBwb ,董筱雨,顶尖,表达对人或事物的极致赞美，意为“顶级”“封神”“无可超越”,积极,外来词汇,3-服饰鞋帽,唯品会,小红书
2,神仙,出色,某个人或某件事情、事物非常厉害、神奇、令人惊叹,积极,旧词新用, 2022 秋季千叶花限定 公主颜值dior秋冬限定!请推给我的富婆闺蜜  今日开店，薯薯在线营业，欢迎点击页面左下角橱窗 购买 到底怎么样才能让我闺蜜刷到这条!!我看看Dior2022秋冬限定的millefiori玫瑰花系列美死谁了!是什么神仙颜值哇!花卉刺绣太有气质了吧秋季限定的两款口红壳都充满高贵气质，直戳我心巴   Dior新色1947就是又纯又欲的荔枝冰露白开水，涂上就是纯纯甜妹一枚吖~气垫蜜粉也是绝美，公主颜值中出门聚会拿出来补妆都感觉自己是大小姐感谢@舌灿桃花小姐姐的口红试色图片~快@你的富婆闺蜜两让她买给你，点击图片左下角，限定商品真的很容易断货!!!,2-美妆个护,雅诗兰黛,搜狐,https://www.sohu.com/a/926762229_122316774,,出色,某个人或某件事情、事物非常厉害、神奇、令人惊叹,积极,旧词新用,2-美妆个护,雅诗兰黛,搜狐
3,哒咩,不行,不行,消极,方言转化,消防宣传公益广告中吴京双手交叉的魔性动作，原图配文为“请勿占用消防车通道”；,6-教育培训,吴京,冰棍儿网,https://www.bingguner.com/mingxing/156074.html,,不行,不行,消极,方言转化,6-教育培训,吴京,冰棍儿网
4,集美,朋友们（多指女性）,姐妹,中性,新造词汇,把秋天戴在手腕「桂花香」轮回手绳“人闲桂花落，夜静春山空”宝宝们~这款真的是美的走不动道!!桂花香·手绳真的绝美手工编织搭配蜜蜡小桂花味仿佛置身桂花香中 桂花控的集美这款一定要冲！蜜蜡手感温润秋天佩戴真的敲舒服~而且有“镇定心神、美容养颜”的作用 蜜蜡也是佛教七宝之一可以驱邪避灾得神圣宝石+敲平价!敲平价!敲平价!#宝藏饰品大公开 #蜜蜡 #蜜蜡手链 #秋季穿搭 #桂花 #手绳编织 #手工编绳 #手作 #国风 #手工 #我的手工日常,3-服饰鞋帽,桃七泡泡,抖音,https://www.douyin.com/note/7353169030800346420,,朋友们（多指女性）,姐妹,中性,新造词汇,3-服饰鞋帽,桃七泡泡,抖音
5,666,精彩,厉害,积极,字母词汇,"然后还是继续用贝德玛粉水

是真的有点666

首先作为敏感肌也能用的一款卸妆水

它的卸妆力真的牛！",2-美妆个护,贝德玛,京东,https://mall.jd.com/index-15117000.html,,精彩,厉害,积极,字母词汇,2-美妆个护,贝德玛,京东
6,快充,快速充电,快速充电,中性,简略词汇,小米13获得3c认证：依旧是经典67w快充,4-数码家电,小米,搜狐,https://3g.k.sohu.com/t/n641412485?serialId=ba866529c37a27f39af0250c8b44868b&showType=&shp1=Njk4NzMzMzIwMTIxNjA4OTQyMQ%3D%3D,,快速充电,快速充电,中性,简略词汇,4-数码家电,小米,搜狐
7,茅台自由,消费自由,普通人也可以喝上茅台,中性,新造词汇,"打工5年，终于实现茅台自由
即便没有9.9，
也毫不犹豫全款拿下，
我还喝一杯倒一杯(不是
#瑞幸茅台 #瑞幸联名 #酱香茅台 #瑞了",1-餐饮食品,瑞幸,小红书,66 非非吖发布了一篇小红书笔记，快来看吧！ 😆 FYQBa1xAnXaToyF 😆 http://xhslink.com/z84Hkv，复制本条信息，打开【小红书】App查看精彩内容！,,消费自由,普通人也可以喝上茅台,中性,新造词汇,1-餐饮食品,瑞幸,小红书
8,自带美颜,天生丽质,素颜状态极好，像开了美颜一样,积极,新造词汇,"终于等到你...这俩连敷一周 真自带美颜啊！！
谁懂啊！！建议用过的人！都去试试菲欧曼家的这套肌肤灌注法
真就21分钟….【一夜回春】的感觉
一点都不夸张！！
整个皮肤状态是往上走的感觉
从内到外的透亮感！而且脸嫩的像鸡蛋..
-
它家的肌肤灌注是什么？
简单来说就是：在不破坏皮肤的情况下
把核心的营养灌注到皮肤的真皮层 让皮肤真正的吃进去 达到“有效且快速抗老”
不再无效抗老
而且不仅仅是当下即刻的效果！
第二天也不会打回原形
要知道上一次做这个还是在院线里花了大几千！…
没想到现在在家也能轻轻松松实现
-
突破性肌肤灌注科技的加持！
让输送精准率更精准
✅0.1%A酯+2%玻尿酸
黄金抗老cp！让我们的皮肤弹润起来
✅3%芋螺胜肽溶液
快速淡纹紧致！
✅海洋藻类精粹
从源头抗老～把脸上垮下去的沟沟壑壑都撑开
厚敷20分钟-GR青春面膜助推精华吸收
1+1 ＞2！
省去了美容仪的操作！好方便！
✅三重欧洲亲肤精油
GR青春面膜封闭助推精华更好的吸收
同时改善肤质
淡淡精油清香很好闻
-
这一套下来！会被惊呼的程度..
专业院线技术做抗老
这不好用都难吧..
什么是有效抗老？都来试试这个肌肤灌注法！真就！自带美颜的感觉..
#护肤 #抗老 #抗老护肤 #FILLMED菲欧曼 ",2-美妆个护,菲欧曼,小红书,93 偷一只崽_发布了一篇小红书笔记，快来看吧！ 😆 cVKNuQjnN9L4NnS 😆 http://xhslink.com/slqHkv，复制本条信息，打开【小红书】App查看精彩内容！,,天生丽质,素颜状态极好，像开了美颜一样,积极,新造词汇,2-美妆个护,菲欧曼,小红书
9,get,理解,得到,积极,外来词汇,"来林里过中秋，喝茶get鸭鸭灯笼
喝一口茶，吃一笼鸭
中秋佳节，举杯共饮林里
<金桔白柚柠檬茶》
NEW金桔清爽回甘，白柚果肉清甜
冷热皆宜，搭配月饼，解腻一绝
一
<鸭鸭灯笼)
用发光鸭代替蜡烛，无异味
中秋一起遛鸭，快乐游园
一
周边攻略。 图
预祝工友们，中秋节快乐鸭
#LINLEE #LINLEE新品 #金桔白柚柠檬茶 #中秋节",1-餐饮食品,林里,小红书,25 LINLEE林里·手打柠檬茶发布了一篇小红书笔记，快来看吧！ 😆 tVmHqqrYbHjHBZG 😆 http://xhslink.com/CCCHkv，复制本条信息，打开【小红书】App查看精彩内容！,,理解,得到,积极,外来词汇,1-餐饮食品,林里,小红书
10,好喝到无语,美味绝伦、无法形容,好喝到无法用语言形容,积极,新造词汇,"终于理解到网上说的好喝到无语了···米咖yyds
更适合中国宝宝的新中式咖啡！！
精选大米加金奖咖啡豆，提神+养生两不误尊嘟好好喝！！！！直接拿捏了中国胃！
生椰米乳拿铁
大米的香醇搭配上椰乳的清爽，还有天狼星咖啡豆的焦香
入口丝滑香浓，不加糖的话会更加推荐~
原味米乳拿铁
金奖天狼星咖啡豆十米香浓郁的米乳，米香味很突出，而且还是0乳糖的
乳糖不耐受的姐妹们直接冲
我是真的很爱喝ww已经连喝一周了！感觉每天都在起范儿！
#库迪咖啡#库迪新中式咖啡#库迪米咖新品#更适合中国宝宝体质的米乳咖啡#库迪新升级金奖咖啡豆#原味米乳拿铁#生椰米乳拿铁#小柑橘米乳拿铁#敖瑞鹏#孙阳井代露娃#陈少熙#邀你秋日起范儿",1-餐饮食品,库迪,小红书,14 小羊九十九发布了一篇小红书笔记，快来看吧！ 😆 TqzsMJd2GOAkTXa 😆 http://xhslink.com/T8QHkv，复制本条信息，打开【小红书】App查看精彩内容！,,美味绝伦、无法形容,好喝到无法用语言形容,积极,新造词汇,1-餐饮食品,库迪,小红书
